Author;AuthorULAN;AuthorULANLabel;AuthorNationality;BiographyLabel;AuthorBirth;AuthorDeath;AuthorBirthLong;AuthorBirthLat;AuthorDeathLong;AuthorDeathLat;AuthorBirthCity;AuthorDeathCity;CountModifiers;CountModifiers_Contact;CountModifiers_Neighbours;CountWorks;CountWorks_Modified;CountWorks_Contact;CountWorks_Neighbours;PercWorks_Modified;PercWorks_Contact;PercWorks_Neighbours
GHIRLANDAIO Domenico;ulan:500115228;Ghirlandaio, Domenico;Italian (culture or style);Italian painter, 1449-1494;1449.0;1494.0;11.25;43.766667;11.25;43.766667;Florence;Florence;14.0;5.0;9.0;902.0;102.0;38.0;64.0;0.1130820399113082;0.04212860310421286;0.07095343680709534
RENI Guido;ulan:500030334;Reni, Guido;Italian (culture or style);Italian painter, draftsman, 1575-1642;1575.0;1642.0;11.351;44.507;11.351;44.507;Bologna;Bologna;12.0;4.0;8.0;882.0;109.0;33.0;76.0;0.1235827664399093;0.03741496598639456;0.08616780045351474
PERUGINO Pietro;ulan:500024544;Perugino;Italian (culture or style);Italian painter and draftsman, ca. 1450-1523;1440.0;1523.0;12.0;42.95;12.183333;43.033333;Perugia;Perugia;27.0;14.0;13.0;872.0;156.0;76.0;80.0;0.17889908256880735;0.0871559633027523;0.09174311926605505
MANTEGNA Andrea;ulan:500004218;Mantegna, Andrea;Italian (culture or style);Italian painter, ca. 1431-1506;1426.0;1506.0;11.816667;45.35;10.8;45.15;Abano Terme;Mantua;17.0;5.0;12.0;913.0;178.0;55.0;123.0;0.1949616648411829;0.060240963855421686;0.13472070098576122
LOTTO Lorenzo;ulan:500015631;Lotto, Lorenzo;Italian (culture or style);Italian painter, ca. 1480-1556;1475.0;1556.0;12.326667;45.438611;13.6;43.433333000000005;Venice;Loreto;14.0;6.0;8.0;818.0;89.0;47.0;42.0;0.10880195599022005;0.05745721271393643;0.05134474327628362
DONATELLO;ulan:500026022;Donatello;Italian (culture or style);Italian sculptor, ca. 1386-1466;1380.0;1466.0;11.25;43.766667;;;Florence;;10.0;4.0;6.0;813.0;107.0;54.0;53.0;0.13161131611316113;0.06642066420664207;0.06519065190651907
ANGELICO Fra;ulan:500029319;Angelico, Fra;Italian (culture or style);Florentine painter, draftsman, ca. 1400-1455;1390.0;1455.0;11.466667;43.933333000000005;12.483333;41.9;Metropolitan City of Florence;Rome;6.0;3.0;3.0;760.0;22.0;3.0;19.0;0.02894736842105263;0.003947368421052632;0.025
RIZZO Antonio;ulan:500015673;Rizzo, Antonio;Italian (culture or style);Italian architect and sculptor, born before 1440, died 1499 or after;1430.0;1499.0;;;;;;;11.0;7.0;4.0;737.0;579.0;561.0;18.0;0.7856173677069199;0.7611940298507462;0.024423337856173677
LOMBARDO Pietro;ulan:500016577;Lombardo, Pietro;Italian (culture or style);Italian architect and sculptor, ca. 1435-1515;1425.0;1515.0;9.783333;46.016667;12.326667;45.438611;Comunità Montana della Valle Brembana;Venice;11.0;7.0;4.0;734.0;304.0;273.0;31.0;0.4141689373297003;0.37193460490463215;0.04223433242506812
RICCI Sebastiano;ulan:500028857;Ricci, Sebastiano;Italian (culture or style);Italian painter and draftsman, 1659-1734;1659.0;1734.0;12.221389;46.145;12.326667;45.438611;Belluno;Venice;9.0;3.0;6.0;718.0;41.0;20.0;21.0;0.057103064066852366;0.027855153203342618;0.02924791086350975
